Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Solo Leisure,Economy Class,London to Bangkok via Helsinki,August 2018,4.0,4.0,5.0,4.0,3.0,2.0,Yes,finnair,London,Bangkok
Family Leisure,Economy Class,Moscow to Chicago via Helsinki,October 2018,4.0,5.0,3.0,4.0,5.0,4.0,Yes,finnair,Moscow,Chicago
Couple Leisure,Business Class,New York to Tokyo via Helsinki,April 2019,4.0,4.0,4.0,3.0,4.0,4.0,Yes,finnair,New York,Tokyo
Couple Leisure,Business Class,London to Delhi via Helsinki,April 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,London,Delhi
Solo Leisure,Economy Class,Helsinki to Bangkok,April 2019,4.0,5.0,3.0,3.0,4.0,4.0,Yes,finnair,Helsinki,Bangkok
Solo Leisure,Economy Class,London to Hong Kong via Helsinki,April 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,London,Hong Kong
Family Leisure,Economy Class,Helsinki to Miami,April 2019,2.0,2.0,2.0,2.0,1.0,1.0,No,finnair,Helsinki,Miami
Couple Leisure,Economy Class,London to Kuusamo via Helsinki,April 2019,5.0,5.0,4.0,1.0,5.0,5.0,Yes,finnair,London,Kuusamo
Business,Economy Class,Amsterdam to Helsinki,April 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Amsterdam,Helsinki
Business,Business Class,Helsinki to Paris,April 2019,2.0,2.0,1.0,1.0,4.0,1.0,No,finnair,Helsinki,Paris
Solo Leisure,Business Class,Bangkok to London via Helsinki,March 2019,5.0,5.0,5.0,5.0,1.0,1.0,No,finnair,Bangkok,London
Solo Leisure,Premium Economy,Bangkok to Milan via Helsinki,March 2019,3.0,3.0,1.0,2.0,2.0,1.0,No,finnair,Bangkok,Milan
Solo Leisure,Economy Class,London to Helsinki,February 2019,5.0,3.0,4.0,4.0,4.0,3.0,Yes,finnair,London,Helsinki
Business,Business Class,Geneva to Kansai via Helsinki,March 2019,4.0,5.0,4.0,3.0,4.0,4.0,Yes,finnair,Geneva,Kansai
Business,Business Class,Bangkok to Helsinki,February 2019,2.0,1.0,1.0,2.0,3.0,1.0,No,finnair,Bangkok,Helsinki
Solo Leisure,Business Class,Manchester to Bangkok via Helsinki,February 2019,5.0,5.0,3.0,4.0,5.0,5.0,Yes,finnair,Manchester,Bangkok
Couple Leisure,Economy Class,Helsinki to Paris CDG,February 2019,1.0,2.0,1.0,1.0,1.0,4.0,No,finnair,Helsinki,Paris CDG
Solo Leisure,Economy Class,Helsinki to Berlin ,January 2019,4.0,5.0,3.0,1.0,5.0,4.0,Yes,finnair,Helsinki,Berlin 
Business,Economy Class,Copenhagen to Helsinki,February 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Copenhagen,Helsinki
Solo Leisure,Business Class,London to Singapore via Helsinki,January 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,London,Singapore
Solo Leisure,Economy Class,Helsinki to Dehradun via Delhi,February 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,Dehradun
Business,Economy Class,Tallinn to Helsinki,January 2019,3.0,2.0,1.0,1.0,3.0,3.0,Yes,finnair,Tallinn,Helsinki
Business,Economy Class,Helsinki to Amsterdam,January 2019,3.0,2.0,1.0,1.0,2.0,2.0,No,finnair,Helsinki,Amsterdam
Couple Leisure,Economy Class,Brussels to Helsinki,January 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Brussels,Helsinki
Solo Leisure,Economy Class,Delhi to Dublin via Helsinki,January 2019,5.0,5.0,4.0,5.0,5.0,5.0,Yes,finnair,Delhi,Dublin
Couple Leisure,Economy Class,Helsinki to London,January 2019,2.0,1.0,1.0,2.0,1.0,1.0,No,finnair,Helsinki,London
Couple Leisure,Business Class,Helsinki to London Heathrow,December 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,London Heathrow
Couple Leisure,Business Class,Krabi to Helsinki,December 2018,3.0,5.0,5.0,2.0,2.0,5.0,No,finnair,Krabi,Helsinki
Solo Leisure,Economy Class,Yekaterinburg to Frankfurt via Helsinki,January 2019,4.0,5.0,1.0,1.0,5.0,5.0,Yes,finnair,Yekaterinburg,Frankfurt
Family Leisure,Economy Class,Rovanimie to Copenhagen via Helsinki,December 2018,1.0,2.0,1.0,1.0,2.0,1.0,No,finnair,Rovanimie,Copenhagen
Couple Leisure,Economy Class,Osaka to London via Helsinki,January 2019,1.0,1.0,1.0,3.0,1.0,2.0,No,finnair,Osaka,London
Solo Leisure,Business Class,Bangkok to Helsinki,December 2018,1.0,3.0,1.0,1.0,1.0,1.0,No,finnair,Bangkok,Helsinki
Solo Leisure,Economy Class,London to Helsinki,August 2018,5.0,4.0,3.0,5.0,4.0,4.0,Yes,finnair,London,Helsinki
Couple Leisure,Business Class,Helsinki to Krabi,December 2018,2.0,4.0,4.0,3.0,4.0,5.0,Yes,finnair,Helsinki,Krabi
Couple Leisure,Business Class,London to Helsinki,December 2018,4.0,4.0,4.0,4.0,3.0,5.0,Yes,finnair,London,Helsinki
Business,Business Class,Helsinki to Gothenburg,December 2018,1.0,3.0,3.0,1.0,2.0,1.0,No,finnair,Helsinki,Gothenburg
Solo Leisure,Economy Class,Helsinki to Astana,November 2018,3.0,5.0,1.0,1.0,2.0,2.0,No,finnair,Helsinki,Astana
Solo Leisure,Economy Class,Lisbon to Helsinki,November 2018,3.0,4.0,1.0,1.0,4.0,2.0,No,finnair,Lisbon,Helsinki
Couple Leisure,Economy Class,Rovaniemi to London via Helsinki,December 2018,1.0,1.0,1.0,3.0,1.0,1.0,No,finnair,Rovaniemi,London
Solo Leisure,Economy Class,Tel Aviv to Manchester via Helsinki,August 2018,4.0,4.0,4.0,1.0,5.0,4.0,Yes,finnair,Tel Aviv,Manchester
Family Leisure,Economy Class,Helsinki to Goa,December 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,Goa
Family Leisure,Economy Class,Vaasa to Manchester via Helsinki,December 2018,3.0,3.0,1.0,1.0,2.0,2.0,No,finnair,Vaasa,Manchester
Solo Leisure,Economy Class,Keflavik to Hong Kong via Helsinki,December 2018,3.0,2.0,3.0,3.0,2.0,2.0,No,finnair,Keflavik,Hong Kong
Family Leisure,Economy Class,Stockholm to Hong Kong via Helsinki,December 2018,3.0,3.0,3.0,4.0,1.0,3.0,No,finnair,Stockholm,Hong Kong
Family Leisure,Premium Economy,Helsinki to Bangkok,December 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,Bangkok
Solo Leisure,Economy Class,St Petersburgh to Chicago via Helsinki ,October 2018,3.0,4.0,3.0,4.0,2.0,2.0,No,finnair,St Petersburgh,Chicago
Solo Leisure,Economy Class,Malaga to Helsinki,November 2018,5.0,5.0,5.0,1.0,4.0,5.0,Yes,finnair,Malaga,Helsinki
Family Leisure,Economy Class,Minsk to New York via Helsinki,September 2018,3.0,2.0,3.0,1.0,1.0,1.0,No,finnair,Minsk,New York
Business,Economy Class,Manchester to Bangkok via Helsinki,October 2018,5.0,1.0,1.0,3.0,5.0,5.0,Yes,finnair,Manchester,Bangkok
Solo Leisure,Business Class,Canberra to Prague via Doha,October 2018,5.0,5.0,5.0,5.0,5.0,5.0,Yes,finnair,Canberra,Prague
Business,Premium Economy,Riga to New Delhi via Helsinki,August 2018,4.0,4.0,4.0,4.0,4.0,4.0,No,finnair,Riga,New Delhi
Couple Leisure,Economy Class,Bangkok to Brussels via Helsinki,October 2018,5.0,5.0,5.0,5.0,5.0,5.0,Yes,finnair,Bangkok,Brussels
Business,Business Class,Beijing to Helsinki,October 2018,5.0,5.0,4.0,3.0,4.0,4.0,Yes,finnair,Beijing,Helsinki
Solo Leisure,Economy Class,Madrid to Helsinki ,September 2018,1.0,2.0,2.0,1.0,1.0,3.0,No,finnair,Madrid,Helsinki 
Business,Economy Class,Helsinki to Singapore,October 2018,1.0,4.0,1.0,1.0,3.0,3.0,No,finnair,Helsinki,Singapore
Solo Leisure,Economy Class,Brussels to Bangkok via Helsinki,October 2018,5.0,5.0,5.0,5.0,5.0,5.0,Yes,finnair,Brussels,Bangkok
Business,Premium Economy,Bangkok to Amsterdam via Helsinki,September 2018,5.0,5.0,3.0,4.0,5.0,5.0,Yes,finnair,Bangkok,Amsterdam
Business,Economy Class,Helsinki to Frankfurt,September 2018,1.0,1.0,1.0,1.0,2.0,2.0,No,finnair,Helsinki,Frankfurt
Business,Economy Class,Chicago to Helsinki,August 2018,3.0,2.0,2.0,3.0,1.0,1.0,No,finnair,Chicago,Helsinki
Solo Leisure,Economy Class,Chicago to Vilnius via Helsinki,September 2018,4.0,3.0,2.0,3.0,1.0,3.0,No,finnair,Chicago,Vilnius
Couple Leisure,Economy Class,Helsinki to Chicago O'Hare,September 2018,1.0,3.0,3.0,1.0,2.0,2.0,No,finnair,Helsinki,Chicago O'Hare
Family Leisure,Business Class,Tokyo to Helsinki,August 2018,2.0,2.0,2.0,2.0,2.0,1.0,No,finnair,Tokyo,Helsinki
Business,Economy Class,Dueseldorf to Beijing via Helsinki,June 2018,4.0,4.0,3.0,1.0,3.0,3.0,Yes,finnair,Dueseldorf,Beijing
Solo Leisure,Economy Class,London to St. Petersburg via Helsinki,June 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,London,St. Petersburg
Solo Leisure,Economy Class,Brussels to Bangkok via Helsinki,May 2018,4.0,4.0,4.0,4.0,5.0,5.0,Yes,finnair,Brussels,Bangkok
Family Leisure,Economy Class,Singapore to Oslo via Helsinki,February 2018,4.0,4.0,3.0,4.0,4.0,4.0,Yes,finnair,Singapore,Oslo
Couple Leisure,Economy Class,Osaka to Copenhagen via Helsinki,July 2018,4.0,5.0,4.0,4.0,3.0,4.0,Yes,finnair,Osaka,Copenhagen
Solo Leisure,Business Class,London to Bangkok via Helsinki,April 2018,5.0,5.0,4.0,4.0,4.0,4.0,Yes,finnair,London,Bangkok
Business,Economy Class,Berlin to Tokyo via Helsinki,July 2018,3.0,3.0,1.0,2.0,2.0,1.0,No,finnair,Berlin,Tokyo
Couple Leisure,Economy Class,New York to Helsinki,July 2018,3.0,1.0,1.0,2.0,1.0,1.0,No,finnair,New York,Helsinki
Family Leisure,Economy Class,Rome to Helsinki,July 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Rome,Helsinki
Couple Leisure,Economy Class,Kittila to London,February 2018,2.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Kittila,London
Family Leisure,Economy Class,Helsinki to Copenhagen,June 2018,5.0,5.0,1.0,1.0,5.0,5.0,Yes,finnair,Helsinki,Copenhagen
Solo Leisure,Economy Class,Gothenburg to San Francisco via Helsinki,June 2018,4.0,5.0,5.0,4.0,4.0,5.0,Yes,finnair,Gothenburg,San Francisco
Solo Leisure,Economy Class,Manchester to Bangkok via Helsinki,June 2018,3.0,3.0,2.0,3.0,4.0,4.0,Yes,finnair,Manchester,Bangkok
Couple Leisure,Business Class,Helsinki to Hong Kong,June 2018,4.0,5.0,4.0,4.0,3.0,4.0,Yes,finnair,Helsinki,Hong Kong
Solo Leisure,Business Class,Oslo to Shanghai via Helsinki,December 2017,3.0,3.0,2.0,2.0,1.0,1.0,No,finnair,Oslo,Shanghai
Couple Leisure,Economy Class,Paris to Singapore via Helsinki,June 2018,4.0,4.0,5.0,4.0,3.0,4.0,Yes,finnair,Paris,Singapore
Solo Leisure,Economy Class,Hong Kong to Helsinki,May 2018,2.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Hong Kong,Helsinki
Solo Leisure,Business Class,Bangkok to Frankfurt via Helsinki,May 2018,1.0,2.0,2.0,2.0,5.0,1.0,No,finnair,Bangkok,Frankfurt
Solo Leisure,Economy Class,Amsterdam to Tokyo via Helsinki,May 2018,4.0,3.0,3.0,3.0,1.0,4.0,Yes,finnair,Amsterdam,Tokyo
Solo Leisure,Economy Class,Helsinki to London,May 2018,3.0,1.0,1.0,1.0,3.0,1.0,No,finnair,Helsinki,London
Solo Leisure,Economy Class,Kansai to London via Helsinki,April 2018,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Kansai,London
Solo Leisure,Economy Class,St. Petersburg to Zurich via Helsinki,May 2018,3.0,4.0,1.0,1.0,2.0,2.0,No,finnair,St. Petersburg,Zurich
Solo Leisure,Business Class,Bangkok to Helsinki,April 2018,4.0,5.0,4.0,5.0,5.0,5.0,Yes,finnair,Bangkok,Helsinki
Solo Leisure,Economy Class,Helsinki to Amsterdam,April 2018,3.0,3.0,3.0,1.0,3.0,3.0,No,finnair,Helsinki,Amsterdam
Family Leisure,Economy Class,Dublin to Helsinki,April 2018,4.0,5.0,4.0,2.0,4.0,4.0,Yes,finnair,Dublin,Helsinki
Business,Economy Class,Munich to Helsinki,April 2018,5.0,5.0,3.0,2.0,4.0,4.0,Yes,finnair,Munich,Helsinki
Couple Leisure,Business Class,Singapore to Oslo via Helsinki,March 2018,4.0,5.0,5.0,5.0,1.0,1.0,No,finnair,Singapore,Oslo
Solo Leisure,Business Class,Helsinki to London,April 2018,1.0,4.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,London
Business,Business Class,Barcelona to Shanghai via Helsinki,March 2018,4.0,5.0,5.0,4.0,5.0,5.0,Yes,finnair,Barcelona,Shanghai
Solo Leisure,Economy Class,Bangkok to Amsterdam via Helsinki,November 2017,3.0,3.0,3.0,4.0,3.0,4.0,Yes,finnair,Bangkok,Amsterdam
Solo Leisure,Business Class,London Heathrow to Bangkok via Helsinki,March 2018,2.0,2.0,1.0,4.0,1.0,3.0,No,finnair,London Heathrow,Bangkok
Solo Leisure,Economy Class,Helsinki to Riga,March 2018,2.0,3.0,1.0,1.0,3.0,3.0,No,finnair,Helsinki,Riga
Couple Leisure,Business Class,Copenhagen to Delhi via Helsinki,January 2018,1.0,2.0,1.0,1.0,1.0,1.0,No,finnair,Copenhagen,Delhi
Business,Economy Class,Prague to Rovaniemi via Helsinki,March 2018,1.0,4.0,1.0,1.0,1.0,1.0,No,finnair,Prague,Rovaniemi
Solo Leisure,Economy Class,Helsinki to London,February 2018,3.0,3.0,1.0,1.0,3.0,2.0,No,finnair,Helsinki,London
Family Leisure,Business Class,Delhi to Paris via Helsinki,March 2018,3.0,2.0,1.0,1.0,1.0,1.0,No,finnair,Delhi,Paris
Couple Leisure,Economy Class,Ivalo to London,February 2018,3.0,4.0,5.0,1.0,3.0,4.0,Yes,finnair,Ivalo,London
Couple Leisure,Economy Class,Helsinki to Zurich,February 2018,2.0,2.0,1.0,1.0,3.0,2.0,No,finnair,Helsinki,Zurich
Business,Economy Class,St. Petersburg to New York City via Helsinki,February 2018,3.0,3.0,3.0,2.0,1.0,1.0,No,finnair,St. Petersburg,New York City
Solo Leisure,Economy Class,Zurich to Helsinki,February 2018,4.0,4.0,2.0,1.0,4.0,2.0,Yes,finnair,Zurich,Helsinki
Solo Leisure,Economy Class,Milan to Osaka via Helsinki,January 2018,3.0,1.0,1.0,2.0,1.0,1.0,No,finnair,Milan,Osaka
Business,Business Class,Osaka to Munich via Helsinki,February 2018,2.0,2.0,2.0,2.0,2.0,2.0,No,finnair,Osaka,Munich
Couple Leisure,Business Class,Helsinki to Bangkok,January 2018,3.0,1.0,2.0,3.0,1.0,3.0,No,finnair,Helsinki,Bangkok
Solo Leisure,Business Class,Bangkok to Helsinki,December 2017,3.0,3.0,4.0,3.0,3.0,3.0,Yes,finnair,Bangkok,Helsinki
Couple Leisure,Economy Class,New York JFK to Gothenburg via Helsinki,January 2018,1.0,3.0,2.0,1.0,1.0,1.0,No,finnair,New York JFK,Gothenburg
Business,Economy Class,Stockholm to Helsinki,December 2017,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Stockholm,Helsinki
Solo Leisure,Business Class,Helsinki to Bangkok,December 2017,5.0,4.0,4.0,2.0,1.0,1.0,No,finnair,Helsinki,Bangkok
Solo Leisure,Business Class,Miami to Vienna via Helsinki,January 2017,5.0,4.0,2.0,4.0,1.0,3.0,No,finnair,Miami,Vienna
Solo Leisure,Business Class,Vienna to Miami via Helsinki,January 2017,4.0,5.0,5.0,4.0,5.0,4.0,No,finnair,Vienna,Miami
Couple Leisure,Economy Class,Zürich to Helsinki,December 2017,5.0,5.0,5.0,1.0,5.0,5.0,Yes,finnair,Zürich,Helsinki
Business,Economy Class,Helsinki to Zurich ,December 2017,5.0,5.0,1.0,1.0,5.0,4.0,Yes,finnair,Helsinki,Zurich 
Solo Leisure,Economy Class,Moscow to New York via Helsinki,December 2017,2.0,2.0,1.0,1.0,1.0,2.0,No,finnair,Moscow,New York
Business,Economy Class,Helsinki to Oslo,December 2017,4.0,4.0,4.0,1.0,3.0,5.0,Yes,finnair,Helsinki,Oslo
Business,Business Class,Amsterdam to Hong Kong via Helsinki,November 2017,4.0,5.0,4.0,4.0,4.0,5.0,Yes,finnair,Amsterdam,Hong Kong
Couple Leisure,Economy Class,Stockholm to Delhi via Helsinki,November 2017,3.0,1.0,3.0,1.0,1.0,2.0,No,finnair,Stockholm,Delhi
Business,Business Class,Zurich to Helsinki,November 2017,1.0,2.0,2.0,1.0,3.0,2.0,No,finnair,Zurich,Helsinki
Family Leisure,Economy Class,Miami to Helsinki,November 2017,1.0,2.0,2.0,2.0,1.0,1.0,No,finnair,Miami,Helsinki
Business,Economy Class,London to Delhi via Helsinki,November 2017,2.0,1.0,1.0,1.0,1.0,1.0,No,finnair,London,Delhi
Business,Business Class,Bangkok to Helsinki,September 2017,5.0,5.0,5.0,5.0,4.0,5.0,Yes,finnair,Bangkok,Helsinki
Business,Business Class,Geneva to Helsinki,October 2017,2.0,5.0,4.0,1.0,4.0,3.0,Yes,finnair,Geneva,Helsinki
Solo Leisure,Economy Class,Hong Kong to Helsinki,September 2017,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Hong Kong,Helsinki
Solo Leisure,Business Class,Hong Kong to Helsinki,September 2017,2.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Hong Kong,Helsinki
Couple Leisure,Economy Class,Manchester to Nagoya via Helsinki,October 2017,5.0,5.0,5.0,5.0,5.0,5.0,Yes,finnair,Manchester,Nagoya
Solo Leisure,Economy Class,Berlin to Kansai via Helsinki,September 2017,4.0,5.0,4.0,4.0,3.0,5.0,Yes,finnair,Berlin,Kansai
Couple Leisure,Business Class,Singapore to Bergen via Helsinki,October 2017,3.0,4.0,3.0,3.0,3.0,4.0,Yes,finnair,Singapore,Bergen
Business,Economy Class,Bangkok to Manchester via Helsinki,June 2017,3.0,3.0,2.0,3.0,1.0,3.0,No,finnair,Bangkok,Manchester
Solo Leisure,Economy Class,London to Helsinki,August 2017,4.0,2.0,1.0,2.0,3.0,2.0,No,finnair,London,Helsinki
Solo Leisure,Economy Class,Helsinki to London,August 2017,4.0,4.0,1.0,3.0,1.0,2.0,No,finnair,Helsinki,London
Business,Economy Class,Stockholm to San Francisco via Helsinki,September 2017,3.0,4.0,1.0,2.0,4.0,4.0,No,finnair,Stockholm,San Francisco
Solo Leisure,Business Class,Zurich to Tallinn via Helsinki,September 2017,4.0,4.0,4.0,1.0,4.0,3.0,Yes,finnair,Zurich,Tallinn
Solo Leisure,Economy Class,Amsterdam to Seoul via Helsinki,September 2017,1.0,4.0,1.0,1.0,2.0,2.0,No,finnair,Amsterdam,Seoul
Business,Economy Class,Helsinki to Zurich,September 2017,3.0,3.0,3.0,1.0,1.0,5.0,Yes,finnair,Helsinki,Zurich
Business,Business Class,Singapore to Helsinki,August 2017,4.0,5.0,4.0,2.0,4.0,5.0,Yes,finnair,Singapore,Helsinki
Solo Leisure,Business Class,Oulu to London (LHR) via Helsinki,August 2017,1.0,3.0,1.0,1.0,2.0,2.0,No,finnair,Oulu,London (LHR)
Family Leisure,Business Class,Manchester to Tokyo via Helsinki,April 2017,3.0,2.0,2.0,4.0,1.0,3.0,No,finnair,Manchester,Tokyo
Business,Business Class,Amsterdam to Helsinki,August 2017,3.0,5.0,4.0,1.0,4.0,4.0,Yes,finnair,Amsterdam,Helsinki
Business,Business Class,Helsinki to London,August 2017,5.0,5.0,4.0,1.0,5.0,4.0,Yes,finnair,Helsinki,London
Solo Leisure,Business Class,New York to Rovaniemi via Helsinki,July 2017,1.0,1.0,1.0,1.0,3.0,2.0,No,finnair,New York,Rovaniemi
Business,Business Class,Berlin to Helsinki,February 2017,3.0,5.0,4.0,1.0,3.0,4.0,Yes,finnair,Berlin,Helsinki
Business,Business Class,Bangkok to Oslo via Helsinki,September 2016,4.0,4.0,4.0,4.0,1.0,1.0,No,finnair,Bangkok,Oslo
Family Leisure,Economy Class,Milan to Helsinki,December 2016,4.0,4.0,4.0,3.0,4.0,4.0,Yes,finnair,Milan,Helsinki
Couple Leisure,Economy Class,Hamburg to Bangkok via Helsinki,August 2016,4.0,3.0,1.0,5.0,3.0,4.0,Yes,finnair,Hamburg,Bangkok
Business,Premium Economy,New York JFK to Chania via Helsinki,July 2017,3.0,5.0,2.0,2.0,3.0,3.0,Yes,finnair,New York JFK,Chania
Family Leisure,Business Class,Bangkok to Copenhagen via Helsinki,June 2017,5.0,5.0,5.0,4.0,5.0,5.0,Yes,finnair,Bangkok,Copenhagen
Solo Leisure,Business Class,Manchester to Bangkok via Helsinki,June 2017,4.0,4.0,4.0,1.0,5.0,5.0,Yes,finnair,Manchester,Bangkok
Business,Business Class,Helsinki to Paris,June 2017,1.0,4.0,2.0,1.0,3.0,1.0,No,finnair,Helsinki,Paris
Couple Leisure,Economy Class,Helsinki to Bangkok,June 2017,3.0,3.0,1.0,2.0,4.0,3.0,No,finnair,Helsinki,Bangkok
Solo Leisure,Premium Economy,Helsinki to Osaka,May 2017,1.0,3.0,2.0,1.0,2.0,1.0,No,finnair,Helsinki,Osaka
Family Leisure,Economy Class,London to Singapore via Helsinki,June 2017,4.0,5.0,1.0,2.0,4.0,4.0,Yes,finnair,London,Singapore
Solo Leisure,Economy Class,Helsinki to Bangkok,May 2017,5.0,5.0,5.0,4.0,5.0,5.0,Yes,finnair,Helsinki,Bangkok
Solo Leisure,Economy Class,Bangkok to Helsinki,June 2017,5.0,4.0,5.0,3.0,5.0,5.0,Yes,finnair,Bangkok,Helsinki
Solo Leisure,Business Class,London to Bangkok via Helsinki,January 2017,2.0,1.0,3.0,2.0,1.0,3.0,No,finnair,London,Bangkok
Couple Leisure,Economy Class,Vienna to Kemi-Tornio via Helsinki,July 2016,3.0,4.0,1.0,1.0,2.0,2.0,No,finnair,Vienna,Kemi-Tornio
Solo Leisure,Economy Class,Bangkok to Helsinki,May 2017,3.0,4.0,3.0,3.0,3.0,5.0,Yes,finnair,Bangkok,Helsinki
Business,Business Class,Oslo to New York JFK via Helsinki,May 2017,4.0,5.0,4.0,4.0,5.0,5.0,Yes,finnair,Oslo,New York JFK
Solo Leisure,Business Class,Helsinki to London Heathrow,May 2017,3.0,4.0,4.0,3.0,4.0,5.0,Yes,finnair,Helsinki,London Heathrow
Family Leisure,Economy Class,London Heathrow to Helsinki,May 2017,4.0,4.0,3.0,1.0,4.0,4.0,Yes,finnair,London Heathrow,Helsinki
Solo Leisure,Economy Class,Nagoya to Milan via Helsinki,May 2017,3.0,4.0,2.0,2.0,2.0,4.0,Yes,finnair,Nagoya,Milan
Solo Leisure,Business Class,New York to Kuusamo via Helsinki,April 2017,1.0,2.0,2.0,2.0,2.0,2.0,No,finnair,New York,Kuusamo
Family Leisure,Economy Class,Amsterdam to Oulu via Helsinki,April 2017,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Amsterdam,Oulu
Solo Leisure,Economy Class,Stockholm to Helsinki,April 2017,4.0,5.0,4.0,1.0,5.0,5.0,Yes,finnair,Stockholm,Helsinki
Business,Business Class,Helsinki to Delhi,April 2017,3.0,4.0,1.0,1.0,1.0,2.0,No,finnair,Helsinki,Delhi
Couple Leisure,Business Class,Helsinki to Madrid,June 2016,1.0,3.0,3.0,1.0,1.0,1.0,No,finnair,Helsinki,Madrid
Solo Leisure,Economy Class,Krakow to Shanghai via Helsinki,March 2017,3.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Krakow,Shanghai
Business,Economy Class,Vaasa to Malaga via Helsinki,March 2017,1.0,3.0,1.0,1.0,5.0,1.0,No,finnair,Vaasa,Malaga
Solo Leisure,Business Class,Helsinki to Bangkok,April 2017,5.0,5.0,5.0,5.0,5.0,5.0,Yes,finnair,Helsinki,Bangkok
Solo Leisure,Business Class,London to Bangkok via Hong Kong,March 2017,3.0,3.0,3.0,3.0,3.0,4.0,Yes,finnair,London,Bangkok
Couple Leisure,Economy Class,Helsinki to Delhi ,March 2017,4.0,5.0,4.0,3.0,4.0,4.0,Yes,finnair,Helsinki,Delhi 
Business,Economy Class,Berlin to Helsinki,March 2017,2.0,2.0,1.0,1.0,1.0,1.0,No,finnair,Berlin,Helsinki
Solo Leisure,Economy Class,Oulu to Helsinki,February 2017,5.0,5.0,4.0,4.0,5.0,4.0,Yes,finnair,Oulu,Helsinki
Solo Leisure,Economy Class,Helsinki to Budapest,February 2017,4.0,5.0,4.0,3.0,4.0,5.0,Yes,finnair,Helsinki,Budapest
Couple Leisure,Economy Class,London to Rovaniemi via Helsinki,February 2017,5.0,5.0,5.0,1.0,5.0,4.0,Yes,finnair,London,Rovaniemi
Solo Leisure,Economy Class,Madrid to Osaka via Helsinki,January 2017,2.0,1.0,1.0,4.0,1.0,1.0,No,finnair,Madrid,Osaka
Solo Leisure,Business Class,Helsinki to Singapore,February 2017,5.0,4.0,5.0,5.0,5.0,5.0,Yes,finnair,Helsinki,Singapore
Business,Business Class,Helsinki to Hong Kong,February 2017,3.0,3.0,2.0,3.0,3.0,4.0,No,finnair,Helsinki,Hong Kong
Solo Leisure,Economy Class,Brussels to Bangkok via Helsinki,January 2017,1.0,3.0,1.0,2.0,1.0,1.0,No,finnair,Brussels,Bangkok
Solo Leisure,Economy Class,HEL to BKK,July 2016,4.0,5.0,4.0,4.0,4.0,4.0,Yes,finnair,HEL,BKK
Solo Leisure,Economy Class,SIN to HEL,January 2017,4.0,5.0,4.0,4.0,4.0,5.0,Yes,finnair,SIN,HEL
Solo Leisure,Economy Class,BRU to HEL,July 2016,3.0,4.0,1.0,4.0,4.0,3.0,Yes,finnair,BRU,HEL
Solo Leisure,Economy Class,LHR to HEL,January 2017,4.0,4.0,1.0,1.0,5.0,5.0,Yes,finnair,LHR,HEL
Solo Leisure,Economy Class,BKK to ARN via HEL,January 2017,2.0,1.0,1.0,1.0,1.0,1.0,No,finnair,BKK,ARN
Solo Leisure,Business Class,CDG to HKG via HEL,December 2016,4.0,4.0,2.0,3.0,5.0,4.0,Yes,finnair,CDG,HKG
Family Leisure,Economy Class,HEL to SIN,January 2017,3.0,3.0,2.0,4.0,1.0,1.0,No,finnair,HEL,SIN
Solo Leisure,Business Class,HKG to HEL,September 2016,5.0,5.0,5.0,5.0,5.0,5.0,Yes,finnair,HKG,HEL
Business,Premium Economy,HEL to NRT,December 2016,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,HEL,NRT
Solo Leisure,Economy Class,BKK to LHR via HEL,November 2016,4.0,5.0,5.0,5.0,4.0,5.0,Yes,finnair,BKK,LHR
Business,Economy Class,BCN to VST via HEL,December 2016,3.0,3.0,1.0,1.0,1.0,1.0,No,finnair,BCN,VST
Couple Leisure,Premium Economy,HEL to BKK,November 2016,5.0,5.0,4.0,5.0,5.0,5.0,Yes,finnair,HEL,BKK
Couple Leisure,Business Class,HEL to MAN,November 2016,4.0,5.0,5.0,1.0,5.0,5.0,Yes,finnair,HEL,MAN
