Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Solo Leisure,Economy Class,Oslo to Athens via Helsinki,July 2019,3.0,2.0,1.0,1.0,1.0,1.0,No,finnair,Oslo,Athens
Family Leisure,Economy Class,Oslo to Helsinki,July 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Oslo,Helsinki
Family Leisure,Economy Class,Helsinki to New York,June 2019,3.0,1.0,2.0,1.0,1.0,1.0,No,finnair,Helsinki,New York
Solo Leisure,Business Class,Stockholm to Helsinki,June 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Stockholm,Helsinki
Solo Leisure,Business Class,Helsinki to Stockholm,June 2019,3.0,5.0,5.0,1.0,5.0,5.0,Yes,finnair,Helsinki,Stockholm
Solo Leisure,Economy Class,Helsinki to Singapore,June 2019,3.0,1.0,3.0,2.0,2.0,3.0,No,finnair,Helsinki,Singapore
Solo Leisure,Economy Class,Bangkok to Brussels via Helsinki,June 2019,5.0,5.0,3.0,3.0,5.0,5.0,Yes,finnair,Bangkok,Brussels
Couple Leisure,Business Class,Manchester to Bangkok via Helsinki,May 2019,5.0,5.0,5.0,5.0,5.0,5.0,Yes,finnair,Manchester,Bangkok
Family Leisure,Economy Class,Helsinki to New York,May 2019,2.0,3.0,3.0,4.0,1.0,1.0,No,finnair,Helsinki,New York
Business,Economy Class,London Heathrow to Singapore via Helsinki,May 2019,5.0,5.0,2.0,5.0,3.0,5.0,Yes,finnair,London Heathrow,Singapore
Solo Leisure,Business Class,Stockholm to Bangkok via Helsinki,May 2019,4.0,5.0,4.0,4.0,4.0,4.0,Yes,finnair,Stockholm,Bangkok
Solo Leisure,Business Class,Bangkok to Amsterdam via Helsinki,May 2019,4.0,4.0,4.0,4.0,5.0,4.0,Yes,finnair,Bangkok,Amsterdam
Solo Leisure,Business Class,Helsinki Vantaa to Bangkok,May 2019,4.0,4.0,4.0,4.0,5.0,4.0,Yes,finnair,Helsinki Vantaa,Bangkok
Solo Leisure,Economy Class,Dublin to Bangkok via Helsinki,May 2019,2.0,3.0,1.0,2.0,3.0,2.0,No,finnair,Dublin,Bangkok
