Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Business,Economy Class,Copenhagen to Helsinki,February 2019,,,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,London to Singapore via Helsinki,January 2019,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki to Dehradun via Delhi,February 2019,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Business,Economy Class,Tallinn to Helsinki,January 2019,3.0,2.0,,,3.0,3.0,Recommendedyes,finnair
Business,Economy Class,Helsinki to Amsterdam,January 2019,3.0,2.0,1.0,,2.0,2.0,Recommendedno,finnair
Couple Leisure,Economy Class,Brussels to Helsinki,January 2019,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Delhi to Dublin via Helsinki,January 2019,5.0,5.0,4.0,5.0,5.0,5.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Helsinki to London,January 2019,2.0,1.0,1.0,2.0,1.0,1.0,Recommendedno,finnair
Couple Leisure,Business Class,Helsinki to London Heathrow,December 2018,1.0,1.0,1.0,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Business Class,Krabi to Helsinki,December 2018,3.0,5.0,5.0,2.0,2.0,5.0,Recommendedno,finnair
Solo Leisure,Economy Class,Yekaterinburg to Frankfurt via Helsinki,January 2019,4.0,5.0,,,5.0,5.0,Recommendedyes,finnair
Family Leisure,Economy Class,Rovanimie to Copenhagen via Helsinki,December 2018,1.0,2.0,,,2.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Osaka to London via Helsinki,January 2019,1.0,1.0,1.0,3.0,1.0,2.0,Recommendedno,finnair
Solo Leisure,Business Class,Bangkok to Helsinki,December 2018,1.0,3.0,1.0,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,London to Helsinki,August 2018,5.0,4.0,3.0,5.0,4.0,4.0,Recommendedyes,finnair
