Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
,Business Class,,,5.0,5.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,4.0,3.0,2.0,,3.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,4.0,3.0,3.0,4.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,5.0,4.0,4.0,0.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,1.0,1.0,2.0,2.0,,1.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,3.0,4.0,1.0,1.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,1.0,3.0,3.0,,2.0,Recommendedno,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,5.0,,5.0,Recommendedyes,swiss-international-air-lines
,First Class,,,5.0,5.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,4.0,5.0,4.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,3.0,3.0,3.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,5.0,4.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,5.0,4.0,0.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,2.0,1.0,0.0,,2.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,3.0,3.0,3.0,4.0,,4.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,1.0,3.0,3.0,3.0,,3.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,4.0,5.0,3.0,,5.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,5.0,5.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,4.0,4.0,3.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,4.0,3.0,3.0,3.0,,0.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,5.0,5.0,4.0,3.0,,4.0,Recommendedyes,swiss-international-air-lines
,Business Class,,,3.0,3.0,2.0,3.0,,2.0,Recommendedno,swiss-international-air-lines
,Economy Class,,,5.0,5.0,2.0,0.0,,5.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,2.0,2.0,2.0,3.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,3.0,4.0,4.0,3.0,,3.0,Recommendedyes,swiss-international-air-lines
,Economy Class,,,5.0,5.0,4.0,4.0,,5.0,Recommendedyes,swiss-international-air-lines
Couple Leisure,Economy Class,Paris to Amsterdam,May 2023,2.0,1.0,3.0,,3.0,2.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,New York to Amsterdam,May 2023,2.0,3.0,3.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,London to Amsterdam,May 2023,3.0,2.0,,,1.0,2.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Lisbon to Copenhagen via Amsterdam,September 2022,4.0,5.0,4.0,,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Amsterdam to New York,May 2023,3.0,3.0,2.0,3.0,1.0,3.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Graz to New York via Amsterdam,May 2023,3.0,3.0,,,1.0,3.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Business Class,Split to Atlanta via Amsterdam,May 2023,5.0,5.0,5.0,,5.0,4.0,Recommendedyes,klm-royal-dutch-airlines
Solo Leisure,Economy Class,London to Amsterdam,May 2023,2.0,2.0,1.0,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,Copenhagen to Kigali via Amsterdam,May 2023,4.0,4.0,2.0,4.0,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Amsterdam to Warsaw,May 2023,2.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Premium Economy,Houston to Amsterdam,April 2023,3.0,2.0,2.0,4.0,1.0,2.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Business Class,Amsterdam to Washington,April 2023,4.0,2.0,2.0,4.0,1.0,2.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Amsterdam to Dubai,January 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,San Francisco to Amsterdam,March 2023,2.0,3.0,3.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,Kigali to Copenhagen via Amsterdam,April 2023,4.0,4.0,2.0,4.0,4.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Business,Business Class,Bogota to Amsterdam=,April 2023,2.0,5.0,3.0,4.0,4.0,2.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Singapore to Amsterdam,April 2023,3.0,5.0,4.0,3.0,5.0,3.0,Recommendedyes,klm-royal-dutch-airlines
Family Leisure,Economy Class,Amsterdam to Munich,April 2023,3.0,5.0,4.0,,4.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Family Leisure,Economy Class,Dubai to Detroit  via Amsterdam,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Quito to Dublin via Amsterdam,April 2023,4.0,5.0,5.0,5.0,4.0,4.0,Recommendedyes,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Florence to Amsterdam,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Business Class,Amsterdam to Dusseldorf,February 2023,3.0,2.0,2.0,1.0,2.0,3.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Business Class,Los Angeles to Delhi via Amsterdam,October 2022,5.0,4.0,5.0,5.0,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Bangkok to Amsterdam,April 2023,4.0,5.0,3.0,4.0,4.0,4.0,Recommendedyes,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Johannesburg to Toronto via Amsterdam,May 2022,2.0,2.0,3.0,3.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Amsterdam to Miami,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Calgary to Delhi via Amsterdam,March 2023,5.0,4.0,1.0,4.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Manchester to Copenhagen via Amsterdam,March 2023,5.0,5.0,5.0,,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Business,Economy Class,Chicago to Lagos via Amsterdam ,March 2023,1.0,3.0,2.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,Düsseldorf to Paris CDG via Amsterdam,March 2023,5.0,5.0,4.0,,4.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Manchester to Bogota via Amsterdam,March 2023,1.0,3.0,1.0,3.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Business Class,Amsterdam to Zanzibar ,February 2023,4.0,4.0,3.0,,2.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Prague,March 2023,1.0,1.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Premium Economy,Amsterdam to Toronto,February 2023,1.0,3.0,1.0,4.0,3.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Entebbe to Orlando,February 2023,3.0,2.0,,4.0,2.0,3.0,Recommendedyes,klm-royal-dutch-airlines
Business,Economy Class,Amsterdam to Cape Town,November 2022,1.0,1.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Toronto to Johannesburg via Amsterdam,February 2023,1.0,1.0,1.0,2.0,5.0,2.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,Amsterdam to Quito,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Manchester,March 2023,3.0,5.0,3.0,,3.0,3.0,Recommendedyes,klm-royal-dutch-airlines
Family Leisure,Economy Class,Vancouver to Amsterdam,March 2023,,,,,,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Business Class,Los Angeles to Delhi via Amsterdam,October 2022,5.0,5.0,5.0,2.0,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Accra to Amsterdam,February 2023,1.0,2.0,1.0,3.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Mumbai to Ahmedabad,January 2023,3.0,2.0,2.0,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Calgary to Amsterdam,February 2023,2.0,5.0,5.0,5.0,2.0,3.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Bremen to Edinburgh via Amsterdam,June 2022,1.0,1.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Accra to London via Amsterdam,August 2022,2.0,2.0,3.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Toronto to Malaga via Amsterdam,January 2023,5.0,4.0,3.0,4.0,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Family Leisure,Premium Economy,Rio de Janeiro to Dublin via Amsterdam,February 2023,1.0,3.0,1.0,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Gardemoen,February 2023,2.0,4.0,3.0,,1.0,3.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Amsterdam to Istanbul,February 2023,,,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Johannesburg to Edinburgh via Amsterdam,January 2023,4.0,3.0,1.0,,3.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Delhi to Amsterdam,January 2023,2.0,3.0,1.0,2.0,3.0,2.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Toulouse to Vancouver via Amsterdam,September 2022,3.0,4.0,3.0,4.0,3.0,3.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Business Class,Santiago de Chile to Frankfurt via Amsterdam,November 2022,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Business,Business Class,Calgary to Amsterdam,September 2022,1.0,2.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Shanghai to Mexico City via Amsterdam,January 2023,4.0,5.0,3.0,4.0,1.0,3.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Lisbon to Amsterdam,January 2023,2.0,3.0,1.0,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Kuala Lumpur to Stavanger via Amsterdam,November 2022,2.0,2.0,3.0,3.0,2.0,2.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Dublin to Cape Town via Amsterdam,August 2022,2.0,2.0,2.0,4.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Amsterdam to Singapore,January 2023,1.0,2.0,1.0,3.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Amsterdam to Vancouver,December 2022,2.0,5.0,1.0,2.0,3.0,2.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Bristol to Austin via Amsterdam,December 2022,4.0,4.0,3.0,4.0,1.0,3.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Copenhagen to Amsterdam via Lisbon,December 2022,4.0,5.0,4.0,,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Bangkok to Amsterdam,December 2022,1.0,2.0,1.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,London City to Amsterdam,December 2022,2.0,3.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,Belfast to Düsseldorf via Amsterdam ,December 2022,1.0,4.0,2.0,1.0,1.0,3.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Dubrovnik to Port of Spain via Amsterdam ,July 2022,4.0,5.0,3.0,3.0,4.0,4.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,London to Amsterdam,December 2022,1.0,2.0,3.0,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Business Class,London to Lima via Amsterdam,October 2022,4.0,5.0,5.0,5.0,4.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Bucharest,November 2022,2.0,5.0,4.0,1.0,2.0,4.0,Recommendedyes,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Lima to Stockholm via Amsterdam,November 2022,2.0,2.0,2.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Lima to Lisbon via Amsterdam,November 2022,4.0,4.0,3.0,3.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Business Class,Amsterdam to Bogota,November 2022,1.0,1.0,1.0,1.0,2.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Brussels to Belgrade via Amsterdam,October 2022,5.0,5.0,5.0,,4.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Business,Economy Class,Malaga to Los Angeles via Amsterdam,June 2022,2.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Premium Economy,Amsterdam to Bogota,November 2022,1.0,2.0,2.0,1.0,3.0,2.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,London Heathrow to Amsterdam,October 2022,3.0,5.0,2.0,,2.0,4.0,Recommendedyes,klm-royal-dutch-airlines
Business,Business Class,Amsterdam to San Francisco,September 2022,5.0,5.0,5.0,5.0,4.0,4.0,Recommendedyes,klm-royal-dutch-airlines
Business,Economy Class,Cardiff to Vienna via Amsterdam,August 2022,1.0,1.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Oslo to Washington via Amsterdam,October 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Vancouver,October 2022,3.0,5.0,1.0,5.0,5.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Edmonton to Athens via Amsterdam,October 2022,1.0,1.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,Amsterdam to Cartagena,October 2022,1.0,2.0,1.0,,2.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Prague to Portland via Amsterdam,September 2022,4.0,3.0,2.0,3.0,2.0,3.0,Recommendedyes,klm-royal-dutch-airlines
Business,Economy Class,Berlin to Indianapolis via Amsterdam,October 2022,1.0,5.0,5.0,5.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Los Angeles to Budapest via Amsterdam,October 2022,,,,,,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Dublin to Houston via Amsterdam,April 2022,3.0,1.0,1.0,3.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Montreal to Amsterdam,August 2022,1.0,1.0,3.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,London to Panama City via Amsterdam,October 2022,1.0,2.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Sao Paulo to Cork via Amsterdam,October 2022,1.0,2.0,2.0,4.0,4.0,3.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Vancouver,October 2022,1.0,5.0,1.0,1.0,5.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Toronto,September 2022,3.0,2.0,1.0,2.0,1.0,3.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,São Paulo to Madrid via Amsterdam,September 2022,4.0,4.0,3.0,2.0,2.0,2.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Delhi to Atlanta via Amsterdam,October 2022,4.0,2.0,1.0,1.0,2.0,2.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Business Class,Vienna to Amsterdam,September 2022,3.0,5.0,4.0,,5.0,4.0,Recommendedyes,klm-royal-dutch-airlines
Couple Leisure,Business Class,Amsterdam to Lima,September 2022,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Glasgow to Zurich via Amsterdam,October 2022,1.0,1.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Brussels to Belgrade via Amsterdam,September 2022,5.0,4.0,5.0,,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Family Leisure,Economy Class,Amsterdam to Chicago,October 2022,5.0,5.0,5.0,5.0,4.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Madrid,September 2022,3.0,3.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Edinburgh to Amsterdam,September 2022,2.0,4.0,1.0,1.0,1.0,2.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Accra to London City via Amsterdam,September 2022,1.0,2.0,2.0,3.0,1.0,2.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,London to Lagos via Amsterdam,August 2022,1.0,1.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Manchester to Las Vegas via Amsterdam,September 2022,3.0,5.0,3.0,3.0,5.0,4.0,Recommendedyes,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Delhi to Amsterdam,September 2022,4.0,4.0,4.0,4.0,3.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Lisbon,July 2022,1.0,1.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,,September 2022,1.0,3.0,2.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Austin to Mumbai via Amsterdam,June 2022,3.0,2.0,,3.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Frankfurt to Buenos Aires via Amsterdam,September 2022,2.0,2.0,1.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Amsterdam to Austin,August 2022,3.0,1.0,2.0,1.0,3.0,3.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,Rome to Lyon via Amsterdam,September 2022,2.0,2.0,2.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Barcelona to Warsaw via Amsterdam,June 2022,2.0,2.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Berlin to Teesside via Amsterdam,September 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,Amsterdam to Buenos Aires,August 2022,,,,,,5.0,Recommendedyes,klm-royal-dutch-airlines
Family Leisure,Economy Class,Edmonton to Amsterdam,September 2022,5.0,5.0,5.0,1.0,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Family Leisure,Economy Class,Chicago to Nairobi via Amsterdam,September 2022,2.0,1.0,3.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Dubai to Calgary via Amsterdam,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Athens to New York,June 2022,2.0,3.0,2.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Munich to Amsterdam,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Cardiff to Copenhagen via Schiphol ,August 2022,2.0,5.0,1.0,,2.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Faro to Stockholm,January 2022,,,,,,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Business Class,Amsterdam to Austin,July 2022,1.0,2.0,1.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Düsseldorf to Southampton via Amsterdam,July 2022,4.0,5.0,2.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Cape Town to Calgary via Amsterdam,September 2021,,,,,,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Dubrovnik to Amsterdam,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Cork to Amsterdam,July 2022,5.0,5.0,4.0,,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Family Leisure,Economy Class,London City to Accra via Amsterdam,July 2022,2.0,3.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Houston to Athens via Amsterdam ,June 2022,4.0,5.0,5.0,5.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Premium Economy,Amsterdam to Milan Linate,April 2022,1.0,1.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,New York JFK to Kilimanjaro via Amsterdam,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,Amsterdam to Madrid,July 2022,2.0,2.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Kuala Lumpur to Glasgow via Amsterdam,April 2022,3.0,2.0,3.0,3.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Glasgow,July 2022,1.0,1.0,,,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Couple Leisure,Economy Class,Tampa to Edinburgh via Amsterdam,May 2022,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,klm-royal-dutch-airlines
Family Leisure,Economy Class,Munich to Amsterdam,July 2022,2.0,3.0,3.0,,3.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Business Class,Las Vegas to Amsterdam,June 2022,3.0,3.0,3.0,2.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Ibiza to Gdansk via Amsterdam,June 2022,3.0,3.0,2.0,1.0,2.0,1.0,Recommendedno,klm-royal-dutch-airlines
Business,Economy Class,Kraków to Johanesburg via Amsterdam,July 2022,,,,,,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,Accra Ghana to London Heathrow via Amsterdam,June 2022,3.0,5.0,3.0,3.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Dubai to Cork via Amsterdam,June 2022,3.0,4.0,3.0,2.0,2.0,2.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Amsterdam to Vancouver ,April 2022,2.0,1.0,2.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
Family Leisure,Economy Class,San Francisco to Mumbai via Amerstdam,June 2022,3.0,1.0,2.0,2.0,1.0,2.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Premium Economy,Mexico City to Frankfurt am Main via Amsterdam,June 2022,3.0,4.0,5.0,5.0,4.0,1.0,Recommendedno,klm-royal-dutch-airlines
Solo Leisure,Economy Class,Geneva to Accra via Amsterdam,December 2021,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,klm-royal-dutch-airlines
